Reference, Value, Footprint, Datasheet
MS1,nRF52,Adafruit nRF52 Bluefruit Feather:MICROBUILDER_FEATHERWING_NOHOLES,
X1,BAT_JST,LSM9DS1:Bat_Con,
U1,Switch,LSM9DS1:switch,
U2,LSM9DS1,LSM9DS1:LSM9DS1,
C6,10nF,Capacitors_SMD:C_0603,
C5,100nF,Capacitors_SMD:C_0603,
C7,100nF,Capacitors_SMD:C_0603,
C6,10uF,Capacitors_SMD:C_0603,
C2,0.1uF,Capacitors_SMD:C_0603,
C3,10uF,Capacitors_SMD:C_0603,
C4,100nF,Capacitors_SMD:C_0603,
U3,TDS_SC,LSM9DS1:TDS_SC,
U4,TDS_SC,LSM9DS1:TDS_SC,
C8,10uF,Capacitors_SMD:C_0603,
C9,0.1uF,Capacitors_SMD:C_0603,
C10,10uF,Capacitors_SMD:C_0603,
C11,0.1uF,Capacitors_SMD:C_0603,
